200 5 1
40 40 40 10000
40 28 33 4930
39 37 36 7741
32 20 39 2680
40 34 25 4375
0 35 27 13
1 10 16 15
2 7 29 9
3 24 28 15
4 7 6 6
5 2 23 35
6 8 15 27
7 19 6 17
8 34 7 19
9 33 31 8
10 32 26 28
11 11 10 21
12 4 21 14
13 31 25 34
14 4 19 26
15 16 17 34
16 19 16 5
17 3 7 7
18 22 3 27
19 3 20 7
20 14 15 11
21 12 11 25
22 34 20 24
23 30 16 25
24 18 23 4
25 35 26 27
26 4 11 26
27 29 29 16
28 2 7 26
29 20 20 18
30 34 17 20
31 17 35 5
32 20 24 14
33 21 16 12
34 5 33 17
35 6 12 9
36 9 9 32
37 18 31 24
38 13 14 14
39 35 13 21
40 7 29 34
41 2 9 21
42 12 2 3
43 26 2 2
44 17 20 35
45 24 35 13
46 9 35 27
47 25 30 28
48 17 9 9
49 32 8 23
50 3 8 32
51 14 6 11
52 26 11 7
53 27 35 8
54 5 12 6
55 20 21 13
56 18 24 8
57 10 23 30
58 2 10 31
59 7 24 7
60 14 18 13
61 5 3 34
62 3 25 10
63 24 11 8
64 31 8 12
65 11 16 1
66 12 18 4
67 21 32 25
68 8 27 28
69 22 30 2
70 34 5 11
71 16 8 9
72 25 7 5
73 1 26 27
74 32 12 17
75 15 10 1
76 31 13 11
77 18 2 32
78 15 29 8
79 30 26 13
80 29 19 23
81 19 24 15
82 29 4 20
83 4 4 31
84 6 10 7
85 33 35 34
86 2 23 10
87 35 35 11
88 25 1 7
89 16 21 32
90 11 2 29
91 16 16 3
92 34 30 11
93 1 1 8
94 23 15 6
95 16 29 23
96 30 26 14
97 28 21 21
98 19 21 23
99 12 13 34
100 4 27 24
101 3 8 35
102 32 29 11
103 16 33 29
104 22 9 33
105 33 33 6
106 32 21 33
107 20 34 1
108 28 32 7
109 35 29 31
110 8 29 18
111 12 5 16
112 30 26 16
113 28 18 2
114 2 26 12
115 23 2 13
116 23 5 25
117 2 2 33
118 31 19 25
119 33 2 3
120 20 11 20
121 4 25 5
122 15 14 22
123 21 25 25
124 26 33 15
125 1 26 11
126 5 12 9
127 14 5 10
128 8 11 6
129 17 11 1
130 23 5 7
131 31 6 20
132 35 30 27
133 32 31 14
134 28 25 9
135 5 11 31
136 8 17 22
137 26 34 35
138 24 15 23
139 6 32 21
140 33 5 3
141 8 33 29
142 35 18 3
143 15 35 1
144 30 12 16
145 15 19 29
146 12 27 19
147 6 30 14
148 3 11 3
149 14 29 21
150 26 18 26
151 3 22 25
152 25 7 1
153 22 29 8
154 29 10 26
155 2 5 35
156 9 30 26
157 1 29 14
158 11 9 8
159 32 13 7
160 10 11 30
161 9 8 4
162 7 28 12
163 33 2 7
164 4 4 3
165 31 2 5
166 25 19 29
167 32 35 24
168 6 12 24
169 27 13 35
170 31 35 5
171 6 35 5
172 10 21 8
173 31 1 11
174 17 21 16
175 35 14 18
176 19 35 30
177 14 10 23
178 14 32 35
179 6 21 30
180 6 4 26
181 31 1 15
182 4 30 4
183 12 10 2
184 21 22 4
185 5 17 35
186 31 8 15
187 5 33 24
188 29 32 12
189 16 17 1
190 7 28 2
191 14 23 28
192 32 10 6
193 13 9 24
194 3 12 2
195 14 28 27
196 27 12 25
197 29 33 6
198 18 34 2
199 32 15 20
