150 5 1
10 10 10 10000
10 10 9 8800
9 10 9 7720
5 5 9 700
7 10 10 6400
0 2 4 6
1 5 4 8
2 7 8 4
3 4 10 3
4 1 2 10
5 10 9 1
6 6 9 6
7 9 7 7
8 10 7 4
9 6 7 1
10 3 2 7
11 6 6 10
12 3 1 2
13 6 1 6
14 6 1 4
15 4 3 10
16 5 3 8
17 1 10 2
18 4 10 4
19 6 1 9
20 8 3 2
21 2 8 4
22 9 5 6
23 2 5 1
24 4 5 9
25 5 10 1
26 9 6 9
27 6 6 6
28 4 4 2
29 5 9 5
30 9 7 2
31 7 8 3
32 3 9 10
33 8 5 1
34 2 1 1
35 1 4 5
36 1 8 6
37 6 1 7
38 7 2 4
39 8 8 5
40 5 6 1
41 8 8 8
42 5 4 2
43 7 4 5
44 9 1 1
45 2 8 1
46 8 10 8
47 9 2 3
48 8 3 9
49 2 8 3
50 3 6 3
51 8 3 3
52 7 4 1
53 2 8 9
54 6 6 3
55 8 8 6
56 2 3 2
57 1 8 2
58 8 7 8
59 2 1 7
60 7 8 9
61 8 7 6
62 10 5 2
63 4 9 9
64 9 1 7
65 10 8 5
66 2 1 1
67 3 8 6
68 6 1 4
69 6 1 5
70 2 5 5
71 4 7 3
72 7 6 9
73 1 5 4
74 7 2 5
75 10 9 10
76 3 8 1
77 1 9 9
78 1 1 1
79 6 5 3
80 4 8 5
81 9 2 10
82 3 1 5
83 4 9 7
84 2 9 4
85 2 7 2
86 5 7 6
87 3 1 7
88 1 8 4
89 9 7 8
90 6 2 7
91 3 5 8
92 2 9 6
93 4 5 10
94 7 5 3
95 10 9 4
96 7 6 8
97 3 10 9
98 1 9 9
99 9 2 3
100 5 5 3
101 7 2 4
102 6 6 8
103 1 8 8
104 8 4 3
105 7 6 4
106 9 5 7
107 1 9 2
108 6 4 6
109 3 7 7
110 8 5 9
111 5 6 4
112 6 2 9
113 9 7 7
114 6 10 7
115 10 2 10
116 7 1 3
117 2 6 3
118 5 10 6
119 2 8 9
120 9 5 9
121 8 8 1
122 8 7 9
123 3 1 6
124 8 5 9
125 8 6 4
126 1 5 2
127 9 7 4
128 2 10 8
129 10 7 4
130 8 2 8
131 3 2 6
132 9 7 5
133 6 1 2
134 5 4 3
135 4 7 10
136 9 8 5
137 7 6 7
138 8 10 1
139 2 9 1
140 6 3 10
141 5 1 5
142 1 9 10
143 4 9 9
144 6 1 8
145 3 5 6
146 4 1 8
147 10 3 1
148 9 2 8
149 3 6 1
