150 5 1
100 100 100 10000
91 55 60 1604
81 94 66 4031
53 83 84 2435
85 94 94 7013
0 42 66 80
1 34 5 50
2 7 31 7
3 72 97 23
4 12 16 28
5 23 13 11
6 39 12 12
7 53 89 80
8 30 67 74
9 73 93 35
10 69 80 7
11 30 44 26
12 98 51 68
13 34 23 9
14 6 11 2
15 7 9 34
16 20 21 39
17 31 43 23
18 31 26 29
19 8 30 15
20 75 71 19
21 7 5 39
22 88 75 25
23 73 97 8
24 12 46 23
25 25 14 14
26 21 26 37
27 32 31 30
28 70 75 44
29 94 10 94
30 61 85 96
31 1 28 39
32 24 42 49
33 99 58 76
34 32 47 11
35 5 17 39
36 15 41 33
37 30 28 2
38 42 17 5
39 38 22 5
40 37 87 81
41 85 35 94
42 68 81 8
43 36 14 9
44 4 7 18
45 60 90 79
46 85 17 76
47 2 19 36
48 97 74 48
49 91 60 55
50 2 2 31
51 28 40 9
52 49 93 71
53 10 28 46
54 4 45 44
55 13 5 44
56 1 31 19
57 10 28 27
58 25 11 43
59 80 73 35
60 96 88 50
61 24 73 87
62 41 38 44
63 40 47 48
64 25 37 40
65 28 98 98
66 91 26 81
67 91 86 66
68 32 22 15
69 45 18 29
70 20 26 38
71 47 72 98
72 40 48 32
73 21 19 9
74 89 67 70
75 34 98 99
76 83 95 27
77 83 95 12
78 9 21 45
79 72 84 1
80 14 14 39
81 16 23 17
82 46 18 19
83 75 95 94
84 100 70 45
85 84 45 68
86 69 1 92
87 19 14 38
88 9 13 48
89 10 11 46
90 1 89 67
91 45 14 15
92 69 47 67
93 74 71 52
94 1 89 97
95 26 38 15
96 87 40 100
97 22 85 68
98 12 5 18
99 28 29 42
100 36 34 5
101 30 40 10
102 48 28 32
103 79 93 71
104 73 81 35
105 37 49 17
106 33 40 33
107 66 82 16
108 35 15 5
109 47 80 70
110 33 26 8
111 7 1 2
112 28 37 21
113 8 37 35
114 26 4 16
115 34 16 1
116 34 18 43
117 91 100 10
118 68 93 12
119 97 42 71
120 1 45 3
121 69 82 18
122 73 36 88
123 6 15 21
124 70 50 73
125 50 44 5
126 8 29 50
127 71 79 35
128 27 18 20
129 8 87 87
130 21 23 32
131 19 38 47
132 85 86 34
133 15 23 24
134 17 9 41
135 49 35 14
136 48 8 14
137 17 81 85
138 28 50 18
139 35 16 22
140 43 42 17
141 43 24 47
142 40 48 22
143 6 20 4
144 92 2 87
145 4 9 7
146 89 63 95
147 74 24 99
148 92 14 82
149 3 39 11
