200 5 1
100 100 100 10000
91 55 60 1604
81 94 66 4031
53 83 84 2435
85 94 94 7013
0 98 70 92
1 6 76 93
2 6 81 94
3 42 90 70
4 3 8 5
5 35 87 94
6 95 26 79
7 27 99 78
8 12 66 75
9 70 94 2
10 18 46 25
11 95 86 71
12 49 85 89
13 44 96 100
14 48 80 98
15 49 72 74
16 88 82 75
17 91 66 98
18 31 99 78
19 53 79 95
20 36 97 94
21 86 30 76
22 1 98 88
23 62 89 50
24 66 82 30
25 5 16 19
26 47 74 96
27 44 78 85
28 80 78 6
29 14 66 100
30 26 100 98
31 30 90 93
32 75 16 81
33 27 43 46
34 89 40 76
35 47 86 72
36 9 72 97
37 31 72 77
38 28 71 75
39 48 83 94
40 79 22 97
41 28 93 96
42 45 71 69
43 14 93 84
44 50 68 82
45 48 72 78
46 48 18 35
47 48 73 67
48 33 95 82
49 27 75 80
50 31 74 81
51 99 28 99
52 5 66 86
53 16 73 88
54 50 29 25
55 36 25 32
56 68 86 14
57 48 95 86
58 66 88 11
59 73 93 19
60 97 15 95
61 22 98 94
62 20 35 33
63 76 20 77
64 50 77 91
65 31 100 67
66 48 70 66
67 26 67 95
68 29 77 75
69 98 32 93
70 24 73 94
71 48 75 84
72 30 100 66
73 27 67 83
74 11 84 83
75 76 70 49
76 64 60 87
77 11 96 95
78 83 99 100
79 4 80 99
80 45 67 84
81 2 67 100
82 23 69 94
83 86 69 40
84 38 96 73
85 27 87 85
86 100 74 14
87 98 90 24
88 45 66 78
89 99 51 64
90 90 88 16
91 13 95 73
92 43 93 67
93 47 96 73
94 24 97 75
95 66 92 95
96 6 70 78
97 82 82 28
98 95 51 59
99 17 69 89
100 12 29 38
101 44 91 68
102 68 89 33
103 60 61 65
104 86 73 25
105 76 88 59
106 25 74 95
107 26 93 85
108 7 99 68
109 4 91 68
110 73 59 51
111 80 82 23
112 49 77 73
113 32 96 66
114 3 80 88
115 2 79 95
116 10 2 24
117 88 84 5
118 19 39 45
119 4 89 77
120 5 88 87
121 18 1 18
122 10 79 74
123 94 40 91
124 31 96 66
125 76 96 6
126 2 96 73
127 31 89 83
128 79 51 73
129 3 69 96
130 15 17 6
131 10 77 74
132 1 73 80
133 18 77 66
134 5 37 13
135 20 98 83
136 66 9 78
137 26 75 80
138 18 32 21
139 39 48 31
140 30 89 86
141 68 98 27
142 94 1 72
143 100 97 5
144 49 81 74
145 94 2 66
146 44 96 86
147 16 92 94
148 98 99 89
149 70 44 88
150 34 68 74
151 79 9 78
152 12 97 68
153 76 93 47
154 41 74 75
155 48 95 100
156 98 92 93
157 26 89 85
158 66 81 25
159 20 69 87
160 90 11 94
161 73 51 97
162 23 47 23
163 34 76 91
164 91 3 82
165 47 98 98
166 2 89 88
167 15 71 96
168 45 91 70
169 4 76 94
170 43 98 90
171 33 81 67
172 93 77 60
173 15 80 84
174 46 31 38
175 95 10 77
176 89 10 88
177 50 75 95
178 41 73 67
179 90 85 29
180 22 98 94
181 43 86 85
182 47 81 66
183 80 94 9
184 29 37 35
185 74 40 90
186 48 68 70
187 2 99 80
188 39 83 96
189 8 73 97
190 84 67 11
191 69 17 89
192 24 74 67
193 31 42 10
194 84 82 63
195 96 100 32
196 49 42 8
197 24 67 99
198 14 95 87
199 96 7 87
