150 5 1
100 100 100 10000
91 55 60 1604
81 94 66 4031
53 83 84 2435
85 94 94 7013
0 84 26 90
1 65 87 53
2 95 74 50
3 22 70 100
4 71 36 69
5 69 47 92
6 97 34 76
7 81 13 82
8 71 16 100
9 86 77 46
10 46 81 66
11 70 75 64
12 3 48 1
13 67 14 70
14 70 59 93
15 93 32 72
16 99 19 75
17 82 45 66
18 68 88 77
19 71 39 91
20 71 16 91
21 51 87 54
22 85 29 97
23 87 28 88
24 79 90 18
25 31 12 11
26 31 99 95
27 18 81 96
28 47 87 82
29 80 66 68
30 46 11 18
31 73 35 74
32 92 4 90
33 71 21 92
34 66 18 100
35 89 12 88
36 88 9 67
37 93 43 86
38 73 88 33
39 69 41 97
40 79 26 96
41 68 93 46
42 78 2 66
43 97 8 72
44 97 21 72
45 93 29 73
46 91 40 80
47 94 29 79
48 86 7 75
49 70 2 96
50 43 98 86
51 76 14 71
52 45 97 90
53 24 27 43
54 86 49 86
55 34 47 2
56 50 19 10
57 68 86 1
58 69 31 96
59 6 75 88
60 75 63 64
61 80 43 66
62 44 29 37
63 79 14 77
64 92 15 92
65 93 31 67
66 18 94 69
67 98 6 87
68 73 25 68
69 74 36 79
70 20 7 25
71 80 74 34
72 91 8 78
73 69 41 79
74 99 32 83
75 25 3 47
76 79 46 66
77 66 48 98
78 99 43 72
79 89 49 70
80 96 49 82
81 74 26 83
82 67 28 70
83 80 26 74
84 67 19 69
85 82 6 90
86 85 2 90
87 66 23 97
88 68 15 80
89 67 8 74
90 90 49 68
91 71 8 77
92 68 11 86
93 100 19 88
94 74 41 90
95 84 47 94
96 75 38 85
97 84 8 67
98 98 22 96
99 77 45 91
100 42 100 89
101 74 77 50
102 73 45 77
103 87 28 100
104 2 89 91
105 83 20 70
106 5 96 69
107 84 9 89
108 91 28 93
109 36 4 31
110 80 3 96
111 67 18 78
112 81 8 78
113 68 37 94
114 35 9 3
115 28 36 41
116 94 32 85
117 79 100 45
118 94 83 37
119 78 1 74
120 88 67 49
121 42 17 46
122 74 23 84
123 85 40 93
124 92 10 93
125 89 5 98
126 79 85 5
127 47 99 80
128 83 22 96
129 93 68 31
130 87 78 8
131 66 7 72
132 88 8 96
133 74 2 84
134 77 23 67
135 59 58 99
136 98 17 87
137 92 22 91
138 90 46 85
139 31 76 80
140 69 46 75
141 70 70 33
142 73 13 83
143 84 21 68
144 92 73 22
145 69 48 98
146 80 78 63
147 14 81 66
148 91 24 66
149 93 14 70
