50 5 1
100 100 100 10000
91 55 60 1604
81 94 66 4031
53 83 84 2435
85 94 94 7013
0 41 47 42
1 17 38 37
2 45 99 88
3 27 39 23
4 34 5 14
5 30 69 88
6 26 45 9
7 10 4 5
8 68 23 93
9 22 23 29
10 77 7 93
11 21 22 43
12 79 49 77
13 39 47 33
14 25 32 50
15 20 72 100
16 11 93 93
17 21 34 2
18 14 8 42
19 88 89 43
20 11 19 39
21 5 80 99
22 44 44 22
23 10 66 84
24 85 37 66
25 84 43 67
26 83 3 74
27 88 84 77
28 44 24 47
29 49 97 98
30 17 34 29
31 33 34 35
32 38 35 10
33 88 70 73
34 92 98 15
35 88 80 8
36 26 34 1
37 14 90 67
38 64 59 92
39 74 50 55
40 44 21 15
41 79 23 80
42 24 21 32
43 5 39 26
44 27 28 38
45 82 46 84
46 91 92 84
47 29 30 32
48 73 26 74
49 12 9 42
