150 5 1
100 100 100 10000
91 55 60 1604
81 94 66 4031
53 83 84 2435
85 94 94 7013
0 32 86 88
1 11 38 20
2 23 28 28
3 34 86 93
4 65 66 24
5 88 93 63
6 10 95 32
7 59 63 99
8 76 47 44
9 82 17 15
10 9 80 37
11 2 8 74
12 61 75 6
13 50 57 2
14 4 31 80
15 56 71 32
16 9 49 72
17 91 38 80
18 4 8 26
19 86 87 57
20 94 17 96
21 44 68 72
22 25 63 92
23 48 37 21
24 32 17 29
25 11 96 71
26 55 56 31
27 88 26 90
28 38 50 42
29 35 99 63
30 83 59 78
31 5 74 61
32 47 9 12
33 86 15 3
34 20 27 73
35 35 16 21
36 93 24 28
37 2 29 3
38 75 40 72
39 32 58 23
40 77 52 23
41 6 12 18
42 59 2 44
43 79 100 53
44 53 29 15
45 42 4 57
46 38 46 62
47 37 30 63
48 34 5 83
49 70 16 67
50 33 50 35
51 42 35 21
52 93 96 67
53 28 14 51
54 90 66 59
55 34 10 78
56 6 85 74
57 49 20 82
58 28 91 14
59 16 11 99
60 37 78 65
61 74 77 46
62 100 57 44
63 36 41 59
64 85 53 17
65 52 28 53
66 48 29 9
67 81 60 14
68 34 3 68
69 6 45 11
70 22 91 43
71 62 35 9
72 55 54 29
73 13 67 98
74 31 18 37
75 6 69 96
76 53 34 75
77 53 91 95
78 49 49 17
79 22 9 23
80 84 42 57
81 35 32 2
82 75 59 5
83 32 19 65
84 16 89 92
85 2 19 44
86 51 25 94
87 35 1 79
88 75 32 80
89 75 77 58
90 26 76 93
91 29 19 70
92 50 71 60
93 26 35 74
94 85 81 91
95 46 95 8
96 93 40 70
97 79 90 33
98 3 99 65
99 29 54 87
100 25 9 57
101 91 74 100
102 88 28 50
103 97 32 44
104 94 66 3
105 85 26 32
106 13 81 45
107 59 7 90
108 2 10 18
109 5 29 85
110 34 97 19
111 39 40 40
112 90 30 33
113 41 35 27
114 14 82 5
115 14 94 42
116 63 39 91
117 96 62 91
118 53 2 74
119 2 72 41
120 75 95 37
121 62 72 57
122 80 29 13
123 37 53 94
124 46 61 85
125 4 16 20
126 65 11 46
127 21 15 36
128 56 2 96
129 88 41 12
130 38 38 92
131 85 2 72
132 91 87 77
133 40 99 12
134 85 46 43
135 20 27 86
136 51 70 81
137 53 4 59
138 14 100 43
139 86 17 15
140 60 49 88
141 25 11 61
142 49 93 94
143 4 47 63
144 32 83 28
145 13 29 84
146 54 11 70
147 38 49 31
148 29 64 4
149 41 80 49
