150 5 1
10 10 10 10000
10 10 9 8800
9 10 9 7720
5 5 9 700
7 10 10 6400
0 10 1 3
1 1 9 5
2 4 5 1
3 10 2 8
4 8 2 8
5 2 2 3
6 5 3 4
7 6 4 8
8 7 6 7
9 3 9 4
10 1 7 2
11 3 5 5
12 8 9 3
13 6 4 6
14 2 8 1
15 3 7 9
16 3 2 9
17 1 9 5
18 2 8 2
19 7 4 9
20 8 6 2
21 5 10 5
22 10 10 9
23 4 4 10
24 5 4 3
25 4 9 3
26 9 6 10
27 9 8 8
28 3 2 10
29 10 8 7
30 7 4 10
31 1 10 1
32 2 7 1
33 8 3 2
34 7 1 6
35 10 7 8
36 3 7 6
37 7 4 5
38 1 5 5
39 3 5 8
40 9 9 1
41 5 6 6
42 9 4 10
43 3 9 8
44 9 6 3
45 8 1 1
46 8 10 6
47 2 2 8
48 7 4 8
49 6 10 3
50 9 9 7
51 3 4 8
52 7 7 1
53 8 4 6
54 2 7 3
55 2 4 5
56 10 8 4
57 9 2 7
58 3 2 9
59 1 8 1
60 9 9 5
61 10 3 4
62 2 9 3
63 9 4 9
64 6 2 9
65 7 3 7
66 1 5 2
67 7 9 6
68 1 9 5
69 2 10 6
70 7 2 4
71 5 1 1
72 1 5 4
73 9 3 2
74 6 3 2
75 10 6 2
76 10 7 9
77 10 6 4
78 8 4 2
79 7 9 2
80 4 10 3
81 9 10 3
82 1 4 4
83 4 9 5
84 2 7 6
85 7 7 2
86 6 9 6
87 1 10 6
88 9 9 3
89 3 9 6
90 3 2 8
91 5 5 2
92 6 8 3
93 2 4 7
94 1 3 4
95 6 6 2
96 10 1 3
97 5 5 6
98 10 2 7
99 7 9 1
100 10 5 5
101 7 4 6
102 9 8 6
103 5 7 5
104 3 10 4
105 8 8 6
106 8 4 10
107 3 1 2
108 5 5 2
109 4 10 1
110 3 6 3
111 2 4 9
112 6 3 10
113 8 9 1
114 10 5 9
115 5 8 5
116 1 10 7
117 5 5 6
118 6 5 1
119 5 4 3
120 8 10 1
121 6 7 8
122 7 2 5
123 4 10 10
124 7 10 6
125 1 2 8
126 4 4 3
127 5 9 6
128 1 4 3
129 7 10 3
130 8 2 6
131 5 8 9
132 9 3 6
133 9 9 1
134 5 6 9
135 9 1 3
136 3 5 1
137 3 7 2
138 8 4 4
139 3 4 6
140 5 10 6
141 4 3 2
142 9 2 4
143 4 8 7
144 3 2 10
145 10 8 10
146 9 8 4
147 4 9 3
148 10 10 6
149 9 2 1
