200 5 1
40 40 40 10000
40 28 33 4930
39 37 36 7741
32 20 39 2680
40 34 25 4375
0 30 29 5
1 1 19 5
2 7 10 2
3 6 10 15
4 26 17 11
5 33 33 30
6 14 5 34
7 29 13 25
8 16 30 6
9 28 24 20
10 21 12 33
11 21 30 29
12 31 21 29
13 11 26 8
14 4 34 28
15 31 14 9
16 12 26 5
17 20 22 18
18 7 33 33
19 22 34 1
20 6 23 4
21 18 14 28
22 20 11 6
23 15 5 18
24 31 18 27
25 10 28 25
26 16 16 29
27 32 20 25
28 33 16 28
29 10 28 34
30 11 19 27
31 16 33 31
32 6 8 24
33 15 25 5
34 3 7 24
35 3 3 10
36 21 24 28
37 28 34 10
38 25 35 21
39 30 11 21
40 29 35 33
41 31 27 8
42 1 28 9
43 21 34 15
44 18 21 32
45 15 31 35
46 14 22 14
47 10 14 21
48 16 8 10
49 19 12 23
50 29 28 27
51 12 19 2
52 21 34 34
53 31 16 5
54 27 31 14
55 3 14 25
56 13 25 13
57 11 3 15
58 7 16 32
59 13 9 9
60 12 4 14
61 10 9 29
62 11 10 21
63 16 15 16
64 14 18 25
65 28 24 13
66 23 8 32
67 31 30 4
68 14 25 20
69 21 12 35
70 17 20 15
71 6 32 23
72 20 14 25
73 28 32 2
74 6 18 24
75 17 21 19
76 14 24 16
77 8 22 7
78 14 15 24
79 8 25 29
80 6 33 35
81 26 29 23
82 30 12 14
83 17 21 7
84 12 34 1
85 18 22 18
86 33 34 4
87 31 33 6
88 12 15 23
89 6 14 32
90 26 10 10
91 9 26 28
92 1 30 32
93 2 29 14
94 13 24 13
95 34 26 3
96 14 4 35
97 6 18 30
98 11 32 2
99 29 7 14
100 27 5 30
101 28 18 28
102 25 24 12
103 22 4 32
104 12 5 8
105 35 6 13
106 19 1 16
107 16 30 24
108 16 13 35
109 13 8 6
110 32 27 9
111 26 2 25
112 33 23 26
113 3 14 5
114 25 3 11
115 6 20 14
116 3 32 32
117 32 26 3
118 28 1 9
119 20 1 31
120 16 31 4
121 27 31 28
122 25 26 8
123 21 10 19
124 18 12 7
125 15 22 7
126 17 18 23
127 12 27 35
128 19 24 2
129 31 14 21
130 29 7 32
131 23 18 16
132 12 27 10
133 2 14 7
134 18 22 20
135 20 7 30
136 3 13 26
137 14 16 7
138 31 16 32
139 1 35 19
140 4 18 8
141 34 13 19
142 10 26 32
143 33 32 1
144 3 35 24
145 33 29 31
146 2 23 7
147 25 26 2
148 2 17 4
149 14 11 34
150 26 12 27
151 27 13 2
152 11 34 15
153 21 3 23
154 30 6 35
155 21 23 27
156 10 31 27
157 17 6 1
158 8 5 4
159 5 15 5
160 4 13 27
161 24 5 20
162 11 12 20
163 33 34 10
164 30 27 12
165 10 23 29
166 34 12 33
167 12 10 12
168 22 10 17
169 8 19 5
170 12 19 6
171 26 3 18
172 2 7 28
173 33 22 17
174 13 4 35
175 14 31 24
176 1 33 14
177 33 2 35
178 21 8 2
179 5 24 26
180 17 12 10
181 21 2 24
182 1 18 12
183 8 3 30
184 11 24 2
185 11 20 1
186 35 26 17
187 30 8 13
188 7 19 12
189 16 16 2
190 33 13 22
191 5 8 17
192 14 9 26
193 12 30 15
194 35 35 31
195 1 24 4
196 19 3 9
197 16 1 20
198 20 16 34
199 18 31 35
