50 5 1
100 100 100 10000
91 55 60 1604
81 94 66 4031
53 83 84 2435
85 94 94 7013
0 87 78 21
1 81 79 34
2 80 93 19
3 10 93 69
4 33 81 67
5 86 81 74
6 66 85 20
7 43 9 4
8 30 100 100
9 21 20 48
10 22 93 82
11 53 83 71
12 76 79 3
13 58 90 84
14 89 74 43
15 79 46 97
16 76 92 45
17 98 68 7
18 86 94 27
19 68 37 87
20 77 97 50
21 80 18 98
22 80 87 3
23 64 52 94
24 25 4 46
25 77 90 45
26 9 20 13
27 38 80 90
28 71 81 4
29 92 72 49
30 8 17 22
31 96 88 10
32 69 98 1
33 88 97 34
34 68 32 91
35 88 73 71
36 95 45 68
37 91 77 10
38 100 85 33
39 91 92 46
40 80 83 91
41 92 86 34
42 89 38 81
43 96 80 13
44 100 67 23
45 71 95 16
46 40 76 78
47 100 84 87
48 68 76 40
49 78 95 35
