200 5 1
100 100 100 10000
91 55 60 1604
81 94 66 4031
53 83 84 2435
85 94 94 7013
0 79 95 46
1 22 43 22
2 29 1 45
3 35 15 47
4 50 14 36
5 49 89 69
6 84 44 69
7 19 36 42
8 42 50 10
9 50 46 37
10 25 67 99
11 75 59 79
12 27 32 28
13 50 5 21
14 18 39 10
15 39 35 4
16 28 80 98
17 11 15 7
18 45 16 21
19 57 74 85
20 73 67 13
21 23 41 15
22 48 28 29
23 50 39 18
24 4 86 72
25 27 10 6
26 33 24 15
27 2 21 6
28 32 26 12
29 91 88 66
30 22 16 20
31 91 89 35
32 50 8 25
33 13 22 31
34 44 49 11
35 78 76 41
36 19 35 5
37 44 100 74
38 69 84 61
39 38 18 23
40 5 74 97
41 49 3 2
42 43 25 6
43 20 22 49
44 98 29 66
45 81 93 97
46 47 33 42
47 14 23 46
48 27 12 28
49 83 78 68
50 2 4 3
51 34 2 7
52 43 12 1
53 14 73 70
54 50 45 6
55 1 1 8
56 23 35 37
57 24 70 80
58 13 35 7
59 6 42 33
60 31 88 75
61 44 6 5
62 27 6 12
63 87 80 18
64 31 43 48
65 24 82 81
66 77 100 100
67 53 65 58
68 30 42 5
69 17 40 41
70 87 81 6
71 47 5 17
72 30 83 74
73 15 3 3
74 81 98 82
75 26 36 4
76 94 71 11
77 92 77 18
78 19 21 23
79 97 71 37
80 50 92 86
81 69 61 92
82 34 26 11
83 39 39 14
84 26 25 47
85 34 13 48
86 40 39 22
87 54 58 82
88 11 1 44
89 28 33 50
90 31 18 41
91 1 44 49
92 15 47 45
93 95 62 100
94 70 84 43
95 26 28 35
96 68 44 70
97 22 21 43
98 18 94 83
99 70 39 96
100 81 51 68
101 75 66 60
102 36 6 14
103 95 15 70
104 88 87 45
105 89 41 98
106 45 48 35
107 23 3 50
108 9 11 35
109 77 97 7
110 39 76 99
111 98 69 34
112 66 66 27
113 16 9 41
114 73 97 44
115 32 34 25
116 86 48 90
117 9 70 93
118 26 78 68
119 9 44 28
120 13 3 7
121 77 79 8
122 96 40 75
123 30 19 35
124 37 22 25
125 2 44 45
126 10 41 4
127 46 100 84
128 67 46 100
129 2 2 24
130 29 47 38
131 39 26 11
132 10 9 36
133 11 41 44
134 37 35 45
135 37 27 40
136 24 32 50
137 19 72 88
138 4 24 18
139 83 18 73
140 21 20 21
141 94 87 37
142 80 44 93
143 38 26 18
144 3 48 36
145 50 17 11
146 47 23 49
147 49 44 2
148 64 69 51
149 17 17 7
150 86 6 85
151 2 71 87
152 21 90 74
153 22 11 26
154 2 49 27
155 20 70 89
156 26 19 41
157 32 86 66
158 37 11 24
159 11 8 35
160 2 14 7
161 5 40 24
162 32 21 46
163 21 2 37
164 15 28 35
165 35 75 87
166 8 14 20
167 24 31 47
168 1 6 2
169 24 3 33
170 5 6 42
171 11 32 5
172 79 42 67
173 21 41 11
174 26 43 30
175 29 6 47
176 45 18 15
177 10 8 16
178 31 1 27
179 21 12 2
180 9 48 28
181 15 20 26
182 69 67 26
183 98 30 95
184 48 16 27
185 44 47 17
186 26 44 49
187 38 45 12
188 54 67 100
189 20 16 24
190 79 49 93
191 34 41 24
192 11 11 30
193 70 73 10
194 40 78 79
195 94 21 96
196 68 86 73
197 37 9 7
198 2 78 81
199 20 23 9
