150 5 1
100 100 100 10000
91 55 60 1604
81 94 66 4031
53 83 84 2435
85 94 94 7013
0 84 26 90
1 65 87 53
2 95 74 50
3 22 70 100
4 89 51 77
5 65 93 97
6 70 72 73
7 76 74 67
8 66 99 64
9 86 77 46
10 46 81 66
11 70 75 64
12 3 48 1
13 57 76 65
14 70 59 93
15 99 84 96
16 52 100 77
17 69 88 50
18 68 88 77
19 79 52 79
20 64 64 99
21 51 87 54
22 87 59 59
23 87 28 88
24 79 90 18
25 31 12 11
26 31 99 95
27 18 81 96
28 47 87 82
29 80 66 68
30 46 11 18
31 73 50 57
32 92 4 90
33 99 73 98
34 69 89 82
35 64 89 91
36 62 80 91
37 71 85 89
38 73 88 33
39 51 62 53
40 54 50 80
41 68 93 46
42 78 2 66
43 78 100 65
44 84 78 83
45 97 78 88
46 90 91 98
47 94 29 79
48 81 62 93
49 95 70 85
50 43 98 86
51 100 73 55
52 45 97 90
53 24 27 43
54 74 76 93
55 34 47 2
56 50 19 10
57 68 86 1
58 74 59 91
59 6 75 88
60 75 63 64
61 80 43 66
62 44 29 37
63 79 14 77
64 60 95 84
65 58 88 81
66 18 94 69
67 89 57 54
68 64 54 79
69 74 36 79
70 20 7 25
71 80 74 34
72 68 86 56
73 75 53 68
74 93 84 70
75 25 3 47
76 79 46 66
77 100 79 64
78 70 92 90
79 95 77 68
80 63 93 51
81 97 94 86
82 80 89 51
83 65 90 97
84 59 93 95
85 51 94 55
86 66 82 90
87 93 89 95
88 66 80 71
89 67 80 51
90 71 54 76
91 56 70 59
92 55 80 50
93 65 96 67
94 65 98 72
95 84 47 94
96 75 38 85
97 99 75 69
98 85 79 99
99 67 77 95
100 42 100 89
101 74 77 50
102 100 75 57
103 99 82 50
104 2 89 91
105 60 92 72
106 5 96 69
107 90 81 60
108 98 65 87
109 36 4 31
110 85 59 89
111 81 55 59
112 65 68 70
113 87 59 94
114 35 9 3
115 28 36 41
116 96 69 50
117 79 100 45
118 94 83 37
119 83 68 51
120 88 67 49
121 42 17 46
122 83 59 83
123 85 40 93
124 68 70 87
125 53 74 52
126 79 85 5
127 47 99 80
128 70 56 96
129 93 68 31
130 87 78 8
131 85 97 93
132 72 94 77
133 77 61 57
134 89 97 90
135 59 58 99
136 85 80 63
137 51 90 79
138 72 51 90
139 31 76 80
140 92 95 74
141 70 70 33
142 58 99 65
143 81 71 54
144 92 73 22
145 99 55 59
146 80 78 63
147 14 81 66
148 77 71 95
149 87 56 86
