200 5 1
100 100 100 10000
91 55 60 1604
81 94 66 4031
53 83 84 2435
85 94 94 7013
0 63 73 80
1 86 35 85
2 53 51 78
3 68 28 77
4 1 92 72
5 68 1 72
6 100 94 99
7 86 13 85
8 83 16 76
9 43 20 48
10 67 38 83
11 92 29 95
12 88 26 94
13 71 46 87
14 51 62 66
15 51 78 60
16 80 71 98
17 72 17 93
18 74 49 72
19 85 49 67
20 24 89 72
21 75 28 91
22 83 87 1
23 89 42 88
24 98 20 79
25 35 6 1
26 75 42 78
27 96 4 67
28 92 35 85
29 98 16 75
30 20 13 10
31 90 97 78
32 86 20 96
33 39 79 96
34 86 82 89
35 69 8 97
36 63 59 57
37 87 45 76
38 74 49 97
39 99 82 48
40 77 8 100
41 79 76 42
42 81 44 66
43 74 18 82
44 91 43 100
45 88 29 72
46 48 6 13
47 66 31 84
48 41 80 70
49 66 6 87
50 43 92 73
51 80 93 69
52 74 48 70
53 30 85 92
54 82 49 88
55 97 66 16
56 22 86 73
57 77 13 89
58 70 90 3
59 77 7 69
60 78 45 69
61 70 11 71
62 30 45 7
63 99 44 77
64 73 21 73
65 99 23 85
66 97 74 35
67 73 10 66
68 83 98 38
69 96 8 91
70 80 37 83
71 87 74 50
72 46 96 85
73 68 23 73
74 23 72 96
75 72 71 5
76 86 72 95
77 75 30 69
78 84 43 70
79 91 41 73
80 95 49 99
81 76 20 93
82 90 36 77
83 74 83 4
84 83 7 66
85 87 89 8
86 36 42 40
87 35 7 30
88 64 92 91
89 95 30 93
90 90 35 79
91 79 58 54
92 39 11 2
93 94 15 97
94 75 3 96
95 84 35 91
96 91 42 90
97 26 94 87
98 94 28 86
99 97 5 90
100 82 29 91
101 93 31 82
102 94 23 77
103 87 44 70
104 92 83 1
105 75 12 71
106 89 29 73
107 91 82 59
108 100 24 88
109 76 8 93
110 68 3 77
111 93 81 5
112 89 22 99
113 26 9 50
114 37 84 71
115 96 4 75
116 78 14 99
117 44 70 78
118 97 80 43
119 97 3 88
120 13 27 1
121 30 7 38
122 97 29 94
123 86 54 50
124 84 34 85
125 96 7 75
126 44 34 9
127 67 25 76
128 83 2 98
129 67 45 78
130 72 7 94
131 71 45 76
132 93 6 88
133 100 22 94
134 92 1 73
135 99 55 51
136 97 41 93
137 99 38 94
138 16 22 33
139 31 6 1
140 2 24 29
141 71 13 93
142 80 9 72
143 76 77 5
144 3 9 6
145 73 6 77
146 86 38 94
147 84 11 66
148 100 14 79
149 52 51 80
150 98 3 88
151 73 11 71
152 26 6 17
153 47 49 35
154 70 19 92
155 92 38 86
156 93 74 50
157 85 32 99
158 27 29 39
159 79 13 85
160 90 49 94
161 74 50 88
162 66 87 21
163 83 13 94
164 87 3 86
165 71 47 96
166 71 83 34
167 70 87 62
168 35 84 74
169 68 12 77
170 25 22 26
171 92 22 70
172 99 29 89
173 95 2 90
174 77 95 26
175 91 36 85
176 70 4 70
177 91 37 99
178 45 21 16
179 2 76 87
180 72 3 97
181 5 10 31
182 74 97 59
183 84 22 72
184 23 82 98
185 89 50 85
186 74 40 68
187 96 27 83
188 25 67 96
189 70 15 98
190 100 49 93
191 78 15 81
192 81 77 12
193 95 88 8
194 75 10 71
195 48 17 6
196 19 12 40
197 74 35 85
198 71 46 72
199 84 45 97
