50 5 1
100 100 100 10000
91 55 60 1604
81 94 66 4031
53 83 84 2435
85 94 94 7013
0 69 35 84
1 85 92 19
2 25 3 8
3 79 83 92
4 96 56 80
5 48 38 36
6 66 35 68
7 86 8 77
8 97 31 82
9 50 69 57
10 85 65 50
11 87 4 93
12 73 27 82
13 81 9 73
14 93 46 77
15 6 3 43
16 25 100 80
17 90 70 22
18 77 36 91
19 8 20 23
20 98 60 85
21 47 45 14
22 99 38 70
23 72 45 88
24 70 15 80
25 87 35 79
26 69 31 68
27 90 33 99
28 88 6 89
29 95 92 50
30 76 22 66
31 81 10 99
32 69 39 90
33 68 2 85
34 76 43 99
35 88 47 68
36 4 8 3
37 78 93 43
38 97 20 83
39 91 40 83
40 92 92 35
41 80 41 76
42 80 84 44
43 90 19 79
44 66 73 46
45 67 8 78
46 74 21 71
47 82 18 79
48 66 16 97
49 6 13 4
