100 5 1
10 10 10 10000
10 10 9 8800
9 10 9 7720
5 5 9 700
7 10 10 6400
0 8 6 6
1 3 2 2
2 3 4 4
3 2 4 5
4 1 2 10
5 6 7 3
6 8 3 2
7 5 5 3
8 8 9 2
9 8 5 9
10 5 10 5
11 6 2 2
12 5 7 10
13 4 7 4
14 10 9 4
15 8 5 4
16 9 7 6
17 1 4 2
18 10 6 8
19 6 3 7
20 4 7 6
21 4 2 10
22 7 7 4
23 4 9 9
24 2 7 1
25 5 8 7
26 1 10 1
27 2 8 8
28 10 2 6
29 9 7 3
30 9 9 6
31 9 6 7
32 5 7 6
33 8 5 1
34 4 3 5
35 5 10 1
36 9 2 4
37 4 1 7
38 7 10 10
39 8 10 1
40 9 6 1
41 2 8 8
42 5 2 6
43 7 8 7
44 5 9 9
45 8 6 1
46 6 2 4
47 7 2 1
48 2 9 5
49 8 10 9
50 3 6 1
51 10 1 5
52 3 8 7
53 6 10 5
54 2 10 3
55 2 4 6
56 8 1 2
57 7 2 8
58 8 3 8
59 8 9 5
60 7 8 3
61 4 1 2
62 4 3 10
63 4 1 7
64 7 7 9
65 4 6 3
66 10 9 5
67 7 8 10
68 6 1 8
69 6 1 5
70 6 9 7
71 4 5 1
72 1 6 9
73 1 1 2
74 9 8 5
75 10 5 4
76 7 4 7
77 7 7 3
78 3 3 7
79 4 1 7
80 8 4 7
81 1 4 6
82 1 7 3
83 4 3 3
84 2 1 10
85 2 9 10
86 1 7 10
87 3 9 3
88 7 2 4
89 7 5 8
90 2 4 3
91 5 5 10
92 4 3 10
93 4 1 6
94 3 9 1
95 2 3 6
96 5 6 4
97 3 4 3
98 5 7 1
99 5 6 3
