100 5 1
40 40 40 10000
40 28 33 4930
39 37 36 7741
32 20 39 2680
40 34 25 4375
0 15 12 27
1 4 35 7
2 5 33 15
3 5 11 35
4 33 22 26
5 32 6 23
6 3 27 31
7 13 32 26
8 10 11 15
9 25 32 13
10 10 21 35
11 2 35 3
12 28 20 23
13 35 18 27
14 27 19 1
15 1 33 7
16 2 11 12
17 16 4 21
18 32 6 15
19 20 5 10
20 31 30 12
21 3 19 21
22 35 13 21
23 3 13 1
24 11 20 31
25 6 3 19
26 33 28 23
27 7 14 12
28 5 35 2
29 24 29 9
30 33 13 35
31 14 22 5
32 25 15 2
33 1 3 23
34 28 16 16
35 9 34 17
36 22 28 34
37 33 32 27
38 7 21 28
39 32 7 13
40 30 29 25
41 25 33 29
42 27 15 3
43 15 27 2
44 18 5 1
45 17 32 23
46 24 34 13
47 24 5 31
48 17 15 8
49 6 25 20
50 35 35 26
51 3 18 16
52 34 33 24
53 13 35 21
54 31 16 34
55 20 34 8
56 7 26 15
57 3 2 35
58 30 17 11
59 23 6 6
60 4 27 17
61 10 23 17
62 14 4 15
63 12 33 31
64 23 23 16
65 33 18 20
66 28 31 9
67 19 23 28
68 5 29 16
69 24 30 14
70 31 34 33
71 18 13 16
72 18 13 19
73 17 3 20
74 3 8 21
75 7 9 3
76 21 17 30
77 5 22 12
78 26 11 35
79 8 16 34
80 26 16 23
81 8 31 4
82 33 11 4
83 13 18 17
84 34 5 2
85 27 20 31
86 34 30 3
87 20 11 6
88 28 34 29
89 14 34 10
90 22 29 21
91 34 1 25
92 6 24 22
93 26 23 21
94 20 7 6
95 13 2 14
96 25 4 26
97 32 15 23
98 17 31 31
99 20 32 24
