200 5 1
100 100 100 10000
91 55 60 1604
81 94 66 4031
53 83 84 2435
85 94 94 7013
0 98 70 92
1 94 53 84
2 86 59 80
3 42 90 70
4 3 8 5
5 98 78 92
6 95 26 79
7 98 60 57
8 67 97 57
9 70 94 2
10 18 46 25
11 95 86 71
12 49 85 89
13 57 96 57
14 57 79 51
15 55 85 57
16 88 82 75
17 91 66 98
18 93 59 64
19 53 79 95
20 36 97 94
21 86 30 76
22 1 98 88
23 62 89 50
24 66 82 30
25 5 16 19
26 47 74 96
27 78 94 69
28 80 78 6
29 97 55 96
30 90 64 54
31 76 93 76
32 75 16 81
33 27 43 46
34 89 40 76
35 87 61 76
36 80 76 62
37 57 77 70
38 70 69 57
39 82 83 70
40 79 22 97
41 80 88 96
42 69 52 54
43 59 74 68
44 86 70 81
45 95 53 98
46 48 18 35
47 91 85 65
48 64 65 74
49 100 72 82
50 61 59 79
51 99 28 99
52 5 66 86
53 57 55 63
54 50 29 25
55 36 25 32
56 68 86 14
57 85 97 86
58 66 88 11
59 73 93 19
60 97 15 95
61 65 98 63
62 20 35 33
63 76 20 77
64 91 52 58
65 59 98 86
66 68 71 63
67 88 99 70
68 52 53 89
69 98 32 93
70 79 57 75
71 48 75 84
72 90 51 85
73 87 63 71
74 71 97 58
75 76 70 49
76 64 60 87
77 62 70 79
78 83 99 100
79 72 67 82
80 87 90 61
81 67 90 95
82 23 69 94
83 86 69 40
84 50 56 83
85 27 87 85
86 100 74 14
87 98 90 24
88 75 89 53
89 99 51 64
90 90 88 16
91 92 57 67
92 43 93 67
93 93 88 79
94 57 67 91
95 66 92 95
96 98 57 64
97 82 82 28
98 95 51 59
99 17 69 89
100 12 29 38
101 44 91 68
102 68 89 33
103 60 61 65
104 86 73 25
105 76 88 59
106 77 61 95
107 55 67 61
108 70 52 95
109 4 91 68
110 73 59 51
111 80 82 23
112 94 67 50
113 32 96 66
114 76 71 91
115 87 99 94
116 10 2 24
117 88 84 5
118 19 39 45
119 90 60 60
120 86 70 98
121 18 1 18
122 72 87 74
123 94 40 91
124 58 83 66
125 76 96 6
126 65 71 96
127 100 50 56
128 79 51 73
129 79 96 59
130 15 17 6
131 10 77 74
132 100 81 84
133 54 71 63
134 5 37 13
135 87 55 53
136 66 9 78
137 66 66 82
138 18 32 21
139 39 48 31
140 30 89 86
141 68 98 27
142 94 1 72
143 100 97 5
144 51 75 58
145 94 2 66
146 50 65 89
147 93 92 52
148 98 99 89
149 70 44 88
150 85 52 65
151 79 9 78
152 70 70 93
153 76 93 47
154 94 58 85
155 54 92 58
156 98 92 93
157 51 66 63
158 66 81 25
159 85 99 73
160 90 11 94
161 73 51 97
162 23 47 23
163 50 92 57
164 91 3 82
165 99 55 82
166 91 77 50
167 67 54 78
168 45 91 70
169 50 89 65
170 43 98 90
171 63 58 98
172 93 77 60
173 50 74 70
174 46 31 38
175 95 10 77
176 89 10 88
177 50 75 95
178 41 73 67
179 90 85 29
180 58 83 91
181 43 86 85
182 73 99 94
183 80 94 9
184 29 37 35
185 74 40 90
186 95 84 85
187 97 58 87
188 76 81 100
189 70 90 87
190 84 67 11
191 69 17 89
192 86 100 57
193 31 42 10
194 84 82 63
195 96 100 32
196 49 42 8
197 56 72 55
198 91 78 70
199 96 7 87
